ECOREGION,Species,Studies
North American Pacific Fijordland,Alaria sp.,Estes and Duggins 1995
North American Pacific Fijordland,Costaria costata,Haida_Gwaii
North American Pacific Fijordland,Cymathaere triplicata,Estes_NPRB
North American Pacific Fijordland,Egregia menziesii,Haida_Gwaii
North American Pacific Fijordland,Eualaria fistulosa,Estes_NPRB
North American Pacific Fijordland,Laminaria groenlandica,Duggins 1980
North American Pacific Fijordland,Laminaria longipes,Estes_NPRB
North American Pacific Fijordland,Laminaria sp.,Estes_NPRB
North American Pacific Fijordland,Laminaria yezoensis,Estes_NPRB
North American Pacific Fijordland,Laminaria setchellii,Haida_Gwaii
North American Pacific Fijordland,Laminaria sp.,Estes and Duggins 1995; Haida_Gwaii
North American Pacific Fijordland,Macrocystis pyrifera,Haida_Gwaii
North American Pacific Fijordland,Nereocystis luetkeana,Haida_Gwaii
North American Pacific Fijordland,Nereocystis sp.,Estes and Duggins 1995
North American Pacific Fijordland,Pleurophycus gardneri,Haida_Gwaii
North American Pacific Fijordland,Pterygophora californica,Haida_Gwaii
North American Pacific Fijordland,Saccharina groenlandica,Haida_Gwaii
North American Pacific Fijordland,Saccharina latissima,Haida_Gwaii
North Sea,Laminaria hyperborea,norway_inner_coast_norderhaug; Norway_monitoring_kelp_data; norway_moy_christie_with_Aí_sen_2006; Pehlke and Bartsch 2008
North Sea,Laminaria digitata,norway_inner_coast_norderhaug
North Sea,Saccharina latissima,Norway_monitoring_kelp_data; norway_moy_christie_with_Aí_sen_2006
North Sea,Saccorhiza polyschides,Norway_monitoring_kelp_data
Northeastern New Zealand,Ecklonia radiata,New_Zealand_Hauraki_Gulf; Northern_New_Zealand; Zemke-White & Clements (2004)
Northeastern New Zealand,Lessonia variegata,Northern_New_Zealand
Northeastern New Zealand,Macrocystis pyrifera,Northern_New_Zealand
Northeastern New Zealand,Undaria pinnatifida,Northern_New_Zealand
Northern California,Agarum fimbriatum,PISCO_subtidal
Northern California,Alaria marginata,PISCO_subtidal
Northern California,Costaria costatum,PISCO_subtidal
Northern California,Cystoseira osmundacea,PISCO_subtidal
Northern California,Dictyoneurum californicum,PISCO_subtidal
Northern California,Egregia menziesii,PISCO_subtidal
Northern California,Eisenia arborea,Channel_Islands_National_Park; Edwards_baja; Harrold and Reed 1985; PISCO_subtidal; SNI
Northern California,Laminaria farlowii,Channel_Islands_National_Park; Edwards_baja; PISCO_subtidal
Northern California,Laminaria saccharina,PISCO_subtidal
Northern California,Laminaria setchellii,PISCO_subtidal; Schiel et al. 2004
Northern California,Laminaria sp.,Harrold and Reed 1985; SNI
Northern California,Macrocystis pyrifera,Channel_Islands_National_Park; Edwards_baja; Gerard 1976; Harrold and Reed 1985; PISCO_subtidal; SNI
Northern California,Nereocystis luetkeana,PISCO_subtidal
Northern California,Pleurophycus gardneri,PISCO_subtidal
Northern California,Pterygophora californica,Channel_Islands_National_Park; Edwards_baja; Harrold and Reed 1985; PISCO_subtidal; Schiel et al. 2004; SNI
Northern California,Undaria pinnatifida,PISCO_subtidal
Northern Grand Banks - Southern Labrador,Alaria esculenta,Keats et al. 1985
Northern Grand Banks - Southern Labrador,Laminaria digitata,Keats et al. 1985
Northern Grand Banks - Southern Labrador,Sacchoriza dermatodea,Keats et al. 1985
"Oregon, Washington, Vancouver Coast and Shelf",Agarum fimbriatum,PISCO_oregon
"Oregon, Washington, Vancouver Coast and Shelf",Alaria marginata,PISCO_oregon
"Oregon, Washington, Vancouver Coast and Shelf",Costaria costata,PISCO_oregon
"Oregon, Washington, Vancouver Coast and Shelf",Cystoseira osmundacea,PISCO_oregon
"Oregon, Washington, Vancouver Coast and Shelf",Egregia menziesii,PISCO_oregon
"Oregon, Washington, Vancouver Coast and Shelf",Eisenia arborea,De Wreede 1984; PISCO_oregon; VancouverIsland-JaneWatson
"Oregon, Washington, Vancouver Coast and Shelf",Laminaria farlowii,PISCO_oregon; VancouverIsland-JaneWatson
"Oregon, Washington, Vancouver Coast and Shelf",Laminaria setchellii,De Wreede 1984; PISCO_oregon
"Oregon, Washington, Vancouver Coast and Shelf",Lessoniopsis littoralis,PISCO_oregon
"Oregon, Washington, Vancouver Coast and Shelf",Macrocystis pyrifera,Shaffer 2000
"Oregon, Washington, Vancouver Coast and Shelf",Macrocystis pyrifera,PISCO_oregon; VancouverIsland-JaneWatson
"Oregon, Washington, Vancouver Coast and Shelf",Nereocystis leutkana,Fox et al 1999
"Oregon, Washington, Vancouver Coast and Shelf",Nereocystis luetkeana,PISCO_oregon; Shaffer 2000
"Oregon, Washington, Vancouver Coast and Shelf",Pleurophycus gardneri,PISCO_oregon
"Oregon, Washington, Vancouver Coast and Shelf",Pterygophora californica,De Wreede 1984; PISCO_oregon; Shaffer 2000; VancouverIsland-JaneWatson
"Oregon, Washington, Vancouver Coast and Shelf",Saccharina latissima,PISCO_oregon
"Oregon, Washington, Vancouver Coast and Shelf",Undaria pinnatifida,PISCO_oregon
Scotian Shelf,Agarum clathratum,KelpAbundance_NovaScotia
Scotian Shelf,Laminaria digitata,KelpAbundance_NovaScotia; Smith 1985
Scotian Shelf,Laminaria longicruris,Smith 1985
Scotian Shelf,Saccharina latissima,KelpAbundance_NovaScotia
Sea of Japan/East Sea,Laminaria religiosa,Dotsu et al 1999
Sea of Okhotsk,Laminaria inclinatorhiza,Klochkova et al. 2012
Sea of Okhotsk,Laminaria sp.,Klochkova et al. 2012
Sea of Okhotsk,Laminatia appressirhiza,Klochkova et al. 2012
South Australian Gulfs,Ecklonia radiata,autralia_connell_canopyLoss; KelpCover_Temperate_Australia_Laminariales
South Australian Gulfs,Lessonia corrugata,KelpCover_Temperate_Australia_Laminariales
South Australian Gulfs,Macrocystis pyrifera,KelpCover_Temperate_Australia_Laminariales
South Australian Gulfs,Macrocystis pyrifera,KelpCover_Temperate_Australia_Laminariales
South Australian Gulfs,Undaria pinnatifida,KelpCover_Temperate_Australia_Laminariales
South European Atlantic Shelf,Agarum fimbriatum,REBENT_Brittany_NW_France
South European Atlantic Shelf,Alaria marginata,REBENT_Brittany_NW_France
South European Atlantic Shelf,Costaria costatum,REBENT_Brittany_NW_France
South European Atlantic Shelf,Cystoseira osmundacea,REBENT_Brittany_NW_France
South European Atlantic Shelf,Dictyoneurum californicum,REBENT_Brittany_NW_France
South European Atlantic Shelf,Egregia menziesii,REBENT_Brittany_NW_France
South European Atlantic Shelf,Eisenia arborea,REBENT_Brittany_NW_France
South European Atlantic Shelf,Laminaria farlowii,REBENT_Brittany_NW_France
South European Atlantic Shelf,Laminaria saccharina,REBENT_Brittany_NW_France
South European Atlantic Shelf,Laminaria setchellii,REBENT_Brittany_NW_France
South European Atlantic Shelf,Laminaria spp.,REBENT_Brittany_NW_France
South European Atlantic Shelf,Macrocystis pyrifera,REBENT_Brittany_NW_France
South European Atlantic Shelf,Nereocystis luetkeana,REBENT_Brittany_NW_France
South European Atlantic Shelf,Pleurophycus gardneri,REBENT_Brittany_NW_France
South European Atlantic Shelf,Pterygophora californica,REBENT_Brittany_NW_France
South European Atlantic Shelf,Undaria pinnatifida,REBENT_Brittany_NW_France
Southern California Bight,Agarum fimbriatum,PISCO_subtidal
Southern California Bight,Alaria marginata,PISCO_subtidal
Southern California Bight,Costaria costatum,PISCO_subtidal
Southern California Bight,Cystoseira osmundacea,PISCO_subtidal
Southern California Bight,Dictyoneurum californicum,PISCO_subtidal
Southern California Bight,Egregia menziesii,PISCO_subtidal; sbc_lter_longterm_community
Southern California Bight,Eisenia arborea,Channel_Islands_National_Park; Edwards_baja; isla_natividad; PISCO_subtidal; sbc_lter_longterm_community; SNI
Southern California Bight,Laminaria farlowii,Channel_Islands_National_Park; Dayton et al. 1999; Edwards_baja; PISCO_subtidal; sbc_lter_longterm_community
Southern California Bight,Laminaria saccharina,PISCO_subtidal
Southern California Bight,Laminaria setchellii,PISCO_subtidal
Southern California Bight,Laminaria sp.,isla_natividad; SNI
Southern California Bight,Macrocystis pyrifera,Channel_Islands_National_Park; Dayton et al. 1992; Dayton et al. 1999; Edwards_baja; Grove et al. 2002; isla_natividad; PISCO_subtidal; sbc_lter_longterm_community; SNI
Southern California Bight,Nereocystis luetkeana,PISCO_subtidal
Southern California Bight,Pleurophycus gardneri,PISCO_subtidal
Southern California Bight,Pterygophora californica,Channel_Islands_National_Park; Dayton et al. 1992; Dayton et al. 1999; Edwards_baja; isla_natividad; PISCO_subtidal; sbc_lter_longterm_community; SNI
Southern California Bight,Undaria pinnatifida,PISCO_subtidal
Southern Norway,Laminaria digitata,Norway_monitoring_kelp_data; norway_moy_christie_with_Aí_sen_2006
Southern Norway,Laminaria hyperborea,Norway_monitoring_kelp_data; norway_moy_christie_with_Aí_sen_2006
Southern Norway,Laminaria saccharina,Leinaas and Christie 1996
Southern Norway,Saccharina latissima,Norway_monitoring_kelp_data; norway_moy_christie_with_Aí_sen_2006
Southern Norway,Saccorhiza polyschides,Norway_monitoring_kelp_data
Virginian,Saccharina longicruris,Egan & Yarish 1990
Western Bassian,Ecklonia radiata,KelpCover_Temperate_Australia_Laminariales
Western Bassian,Lessonia corrugata,KelpCover_Temperate_Australia_Laminariales
Western Bassian,Macrocystis pyrifera,KelpCover_Temperate_Australia_Laminariales
Western Bassian,Macrocystis pyrifera,KelpCover_Temperate_Australia_Laminariales
Western Bassian,Undaria pinnatifida,KelpCover_Temperate_Australia_Laminariales
Western Mediterranean,Laminaria ochroleuca,Diez et al. 2012
Western Mediterranean,Saccorhiza polyschides,Diez et al. 2012
