"Ecoregion","Species","Studies"
"Manning-Hawkesbury","Ecklonia radiata","Andrew & Jones 1990; Andrew 1991; Ettinger-Epstein & Kingsford 2008 Austral Ecol; Larkum 1986"
"Namaqua","Laminaria pallida","Pulfrich et al. 2003"
"","Ecklonia maxima","Anderson et al. 2006; Anderson et al. 2007; Field et al. 1980; Levitt et al. 1992; MCM (1997 unpublished data); Rothman et al. 2006"
"North American Pacific Fijordland","Saccharina latissima","Haida_Gwaii"
"","Saccharina groenlandica","Haida_Gwaii"
"","Pterygophora californica","Haida_Gwaii"
"","Pleurophycus gardneri","Haida_Gwaii"
"","Nereocystis sp.","Estes and Duggins 1995"
"","Nereocystis luetkeana","Haida_Gwaii"
"","Macrocystis pyrifera","Haida_Gwaii"
"","Laminaria yezoensis","Estes_NPRB"
"","Laminaria sp.","Estes_NPRB; Estes and Duggins 1995; Haida_Gwaii"
"","Laminaria setchellii","Haida_Gwaii"
"","Laminaria longipes","Estes_NPRB"
"","Laminaria groenlandica","Duggins 1980"
"","Eualaria fistulosa","Estes_NPRB"
"","Egregia menziesii","Haida_Gwaii"
"","Cymathaere triplicata","Estes_NPRB"
"","Costaria costata","Haida_Gwaii"
"","Alaria sp.","Estes and Duggins 1995"
"","Alaria marginata","Haida_Gwaii"
"","Agarum clathrus","Estes_NPRB"
"","Agarum clathratum","Estes_NPRB"
"North Sea","Saccorhiza polyschides","Norway_monitoring_kelp_data"
"","Saccharina latissima","Norway_monitoring_kelp_data; norway_moy_christie_with_AÌŠsen_2006"
"","Laminaria hyperborea","norway_inner_coast_norderhaug; Norway_monitoring_kelp_data; norway_moy_christie_with_AÌŠsen_2006; Pehlke and Bartsch 2008"
"","Laminaria digitata","norway_inner_coast_norderhaug"
"Northeastern New Zealand","Undaria pinnatifida","Northern_New_Zealand"
"","Macrocystis pyrifera","Northern_New_Zealand"
"","Lessonia variegata","Northern_New_Zealand"
"","Ecklonia radiata","New_Zealand_Hauraki_Gulf; Northern_New_Zealand; Zemke-White & Clements (2004)"
"Northern California","Undaria pinnatifida","PISCO_subtidal"
"","Pterygophora californica","Channel_Islands_National_Park; Edwards_baja; Harrold and Reed 1985; PISCO_subtidal; Schiel et al. 2004; SNI"
"","Pleurophycus gardneri","PISCO_subtidal"
"","Nereocystis luetkeana","PISCO_subtidal"
"","Macrocystis pyrifera","Channel_Islands_National_Park; Edwards_baja; Gerard 1976; Harrold and Reed 1985; PISCO_subtidal; SNI"
"","Laminaria sp.","Harrold and Reed 1985; SNI"
"","Laminaria setchellii","PISCO_subtidal; Schiel et al. 2004"
"","Laminaria saccharina","PISCO_subtidal"
"","Laminaria farlowii","Channel_Islands_National_Park; Edwards_baja; PISCO_subtidal"
"","Eisenia arborea","Channel_Islands_National_Park; Edwards_baja; Harrold and Reed 1985; PISCO_subtidal; SNI"
"","Egregia menziesii","PISCO_subtidal"
"","Dictyoneurum californicum","PISCO_subtidal"
"","Cystoseira osmundacea","PISCO_subtidal"
"","Costaria costatum","PISCO_subtidal"
"","Alaria marginata","PISCO_subtidal"
"","Agarum fimbriatum","PISCO_subtidal"
"Northern Grand Banks - Southern Labrador","Sacchoriza dermatodea","Keats et al. 1985"
"","Laminaria digitata","Keats et al. 1985"
"","Alaria esculenta","Keats et al. 1985"
"Oregon, Washington, Vancouver Coast and Shelf","Undaria pinnatifida","PISCO_oregon"
"","Saccharina latissima","PISCO_oregon"
"","Pterygophora californica","De Wreede 1984; PISCO_oregon; Shaffer 2000; VancouverIsland-JaneWatson"
"","Pleurophycus gardneri","PISCO_oregon"
"","Nereocystis luetkeana","PISCO_oregon; Shaffer 2000"
"","Nereocystis leutkana","Fox et al 1999"
"","Macrocystis pyrifera","Shaffer 2000; PISCO_oregon; VancouverIsland-JaneWatson"
"","Lessoniopsis littoralis","PISCO_oregon"
"","Laminaria setchellii","De Wreede 1984; PISCO_oregon"
"","Laminaria farlowii","PISCO_oregon; VancouverIsland-JaneWatson"
"","Eisenia arborea","De Wreede 1984; PISCO_oregon; VancouverIsland-JaneWatson"
"","Egregia menziesii","PISCO_oregon"
"","Cystoseira osmundacea","PISCO_oregon"
"","Costaria costata","PISCO_oregon"
"","Alaria marginata","PISCO_oregon"
"","Agarum fimbriatum","PISCO_oregon"
"Scotian Shelf","Saccharina latissima","KelpAbundance_NovaScotia"
"","Laminaria longicruris","Smith 1985"
"","Laminaria digitata","KelpAbundance_NovaScotia; Smith 1985"
"","Agarum clathratum","KelpAbundance_NovaScotia"
"Sea of Japan/East Sea","Laminaria religiosa","Dotsu et al 1999"
"Sea of Okhotsk","Laminatia appressirhiza","Klochkova et al. 2012"
"","Laminaria sp.","Klochkova et al. 2012"
"","Laminaria inclinatorhiza","Klochkova et al. 2012"
"South Australian Gulfs","Undaria pinnatifida","KelpCover_Temperate_Australia_Laminariales"
"","Macrocystis pyrifera","KelpCover_Temperate_Australia_Laminariales; KelpCover_Temperate_Australia_Laminariales"
"","Lessonia corrugata","KelpCover_Temperate_Australia_Laminariales"
"","Ecklonia radiata","autralia_connell_canopyLoss; KelpCover_Temperate_Australia_Laminariales"
"South European Atlantic Shelf","Undaria pinnatifida","REBENT_Brittany_NW_France"
"","Saccorhiza polyschides","REBENT_Brittany_NW_France"
"","Saccharina latissima","REBENT_Brittany_NW_France"
"","Laminaria ochroleuca","REBENT_Brittany_NW_France"
"","Laminaria hyperborea","REBENT_Brittany_NW_France"
"Southern California Bight","Undaria pinnatifida","PISCO_subtidal"
"","Pterygophora californica","Channel_Islands_National_Park; Dayton et al. 1992; Dayton et al. 1999; Edwards_baja; isla_natividad; PISCO_subtidal; sbc_lter_longterm_community; SNI"
"","Pleurophycus gardneri","PISCO_subtidal"
"","Nereocystis luetkeana","PISCO_subtidal"
"","Macrocystis pyrifera","Channel_Islands_National_Park; Dayton et al. 1992; Dayton et al. 1999; Edwards_baja; Grove et al. 2002; isla_natividad; PISCO_subtidal; sbc_lter_longterm_community; SNI"
"","Laminaria sp.","isla_natividad; SNI"
"","Laminaria setchellii","PISCO_subtidal"
"","Laminaria saccharina","PISCO_subtidal"
"","Laminaria farlowii","Channel_Islands_National_Park; Dayton et al. 1999; Edwards_baja; PISCO_subtidal; sbc_lter_longterm_community"
"","Eisenia arborea","Channel_Islands_National_Park; Edwards_baja; isla_natividad; PISCO_subtidal; sbc_lter_longterm_community; SNI"
"","Egregia menziesii","PISCO_subtidal; sbc_lter_longterm_community"
"","Dictyoneurum californicum","PISCO_subtidal"
"","Cystoseira osmundacea","PISCO_subtidal"
"","Costaria costatum","PISCO_subtidal"
"","Alaria marginata","PISCO_subtidal"
"","Agarum fimbriatum","PISCO_subtidal"
"Southern Norway","Saccorhiza polyschides","Norway_monitoring_kelp_data"
"","Saccharina latissima","Norway_monitoring_kelp_data; norway_moy_christie_with_AÌŠsen_2006"
"","Laminaria saccharina","Leinaas and Christie 1996"
"","Laminaria hyperborea","Norway_monitoring_kelp_data; norway_moy_christie_with_AÌŠsen_2006"
"","Laminaria digitata","Norway_monitoring_kelp_data; norway_moy_christie_with_AÌŠsen_2006"
"Virginian","Saccharina longicruris","Egan & Yarish 1990"
"Western Bassian","Undaria pinnatifida","KelpCover_Temperate_Australia_Laminariales"
"","Macrocystis pyrifera","KelpCover_Temperate_Australia_Laminariales; KelpCover_Temperate_Australia_Laminariales"
"","Lessonia corrugata","KelpCover_Temperate_Australia_Laminariales"
"","Ecklonia radiata","KelpCover_Temperate_Australia_Laminariales"
"Western Mediterranean","Saccorhiza polyschides","Diez et al. 2012"
"","Laminaria ochroleuca","Diez et al. 2012"
