"","study_ID","Study","Site","Latitude","Longitude","max_Depth","mean_Depth","min_Depth","trajectory_ID","sample_size","sample_unit_size_sq_m","year","period","rawDate","sasDate","biomass_KG_wet_per_sq_m","Stipe_Density_num_per_sq_m","individual_per_sq_m","percent_cover","biomass_KG_wet_per_sq_m_STD","Stipe_Density_num_per_sq_m_STD","individual_per_sq_m_STD","percent_cover_STD","focalKelp","focalKelp_STD","focalUnit","elapsed","ROC"
"11",1,"VancouverIsland-JaneWatson","GULL",50.0944444,-127.55889,9,9,9,1,5,20,1998,11,14104,"08/13/1998",NA,1.31,NA,NA,NA,0.204328,NA,NA,1.31,0.2043281674,3,365,-0.685953818
"12",1,"VancouverIsland-JaneWatson","GULL",50.0944444,-127.55889,9,9,9,1,5,20,1999,12,14438,"07/13/1999",NA,4.64,NA,NA,NA,3.918769,NA,NA,4.64,3.9187689393,3,334,1.3830150012
"13",1,"VancouverIsland-JaneWatson","GULL",50.0944444,-127.55889,9,9,9,1,5,20,2000,13,14824,"08/02/2000",NA,3.42,NA,NA,NA,1.185116,NA,NA,3.42,1.1851160281,3,386,-0.288674122
"14",1,"VancouverIsland-JaneWatson","GULL",50.0944444,-127.55889,9,9,9,1,5,20,2001,14,15213,"08/26/2001",NA,1.71,NA,NA,NA,2.164313,NA,NA,1.71,2.164312824,3,389,-0.650827783
"15",1,"VancouverIsland-JaneWatson","GULL",50.0944444,-127.55889,9,9,9,1,5,20,2002,15,15558,"08/06/2002",NA,1.84,NA,NA,NA,1.605226,NA,NA,1.84,1.6052258408,3,345,0.0775729607
"16",1,"VancouverIsland-JaneWatson","GULL",50.0944444,-127.55889,9,9,9,1,5,20,2003,16,15925,"08/08/2003",NA,2.45,NA,NA,NA,1.715372,NA,NA,2.45,1.7153716798,3,367,0.2849571551
"17",1,"VancouverIsland-JaneWatson","GULL",50.0944444,-127.55889,9,9,9,1,5,20,2004,17,16302,"08/19/2004",NA,1.55,NA,NA,NA,1.534194,NA,NA,1.55,1.5341935993,3,377,-0.44356376
"18",1,"VancouverIsland-JaneWatson","GULL",50.0944444,-127.55889,9,9,9,1,5,20,2005,18,16646,"07/29/2005",NA,1.11,NA,NA,NA,0.995866,NA,NA,1.11,0.9958664569,3,344,-0.354520692
"19",1,"VancouverIsland-JaneWatson","GULL",50.0944444,-127.55889,9,9,9,1,5,20,2006,19,17024,"08/11/2006",NA,10.77,NA,NA,NA,2.804372,NA,NA,10.77,2.8043715874,3,378,2.1957559122
"20",1,"VancouverIsland-JaneWatson","GULL",50.0944444,-127.55889,9,9,9,1,5,20,2007,20,17393,"08/15/2007",NA,4.26,NA,NA,NA,1.226479,NA,NA,4.26,1.2264786994,3,369,-0.918069565
"21",1,"VancouverIsland-JaneWatson","GULL",50.0944444,-127.55889,9,9,9,1,5,20,2008,21,17755,"08/11/2008",NA,3.46,NA,NA,NA,1.578528,NA,NA,3.46,1.5785277951,3,362,-0.20986798
"22",1,"VancouverIsland-JaneWatson","GULL",50.0944444,-127.55889,9,9,9,1,5,20,2009,22,18142,"09/02/2009",NA,5.65,NA,NA,NA,2.546075,NA,NA,5.65,2.5460754113,3,387,0.4628264489
"23",1,"VancouverIsland-JaneWatson","GULL",50.0944444,-127.55889,9,9,9,1,5,20,2010,23,18504,"08/30/2010",NA,3.8,NA,NA,NA,0.649038,NA,NA,3.8,0.6490377493,3,362,-0.400215603
"24",1,"VancouverIsland-JaneWatson","GULL",50.0944444,-127.55889,9,9,9,1,5,20,2011,24,18864,"08/25/2011",NA,5.33,NA,NA,NA,1.304128,NA,NA,5.33,1.3041280612,3,360,0.3432844448
"25",1,"VancouverIsland-JaneWatson","KAMILS",50.0080556,-127.43417,9,9,9,2,5,20,1987,1,10121,"09/17/1987",NA,0.01,NA,NA,NA,0.022361,NA,NA,0.01,0.0223606798,3,NA,NA
"26",1,"VancouverIsland-JaneWatson","KAMILS",50.0080556,-127.43417,9,9,9,2,5,20,1988,2,10450,"08/11/1988",NA,9.94,NA,NA,NA,8.835822,NA,NA,9.94,8.8358219765,3,329,7.6621869749
"27",1,"VancouverIsland-JaneWatson","KAMILS",50.0080556,-127.43417,9,9,9,2,5,20,1989,3,10805,"08/01/1989",NA,9.22,NA,NA,NA,4.618116,NA,NA,9.22,4.6181164992,3,355,-0.077363019
"28",1,"VancouverIsland-JaneWatson","KAMILS",50.0080556,-127.43417,9,9,9,2,5,20,1990,4,11175,"08/06/1990",NA,10.85,NA,NA,NA,4.04753,NA,NA,10.85,4.0475301111,3,370,0.1607001703
"29",1,"VancouverIsland-JaneWatson","KAMILS",50.0080556,-127.43417,9,9,9,2,5,20,1991,5,11571,"09/06/1991",NA,6.85,NA,NA,NA,3.308134,NA,NA,6.85,3.3081339151,3,396,-0.42420322
"30",1,"VancouverIsland-JaneWatson","KAMILS",50.0080556,-127.43417,9,9,9,2,5,20,1992,6,11947,"09/16/1992",NA,5.46,NA,NA,NA,2.81678,NA,NA,5.46,2.8167800766,3,376,-0.220315558
"31",1,"VancouverIsland-JaneWatson","KAMILS",50.0080556,-127.43417,9,9,9,2,5,20,1993,7,12259,"07/25/1993",NA,8.03,NA,NA,NA,2.749227,NA,NA,8.03,2.7492271641,3,312,0.4515704435
"32",1,"VancouverIsland-JaneWatson","KAMILS",50.0080556,-127.43417,9,9,9,2,5,20,1994,8,12643,"08/13/1994",NA,9.8,NA,NA,NA,3.602256,NA,NA,9.8,3.6022562374,3,384,0.1894713998
"33",1,"VancouverIsland-JaneWatson","KAMILS",50.0080556,-127.43417,9,9,9,2,5,20,1995,9,13002,"08/07/1995",NA,8.67,NA,NA,NA,1.965833,NA,NA,8.67,1.9658331567,3,359,-0.124646492
"34",1,"VancouverIsland-JaneWatson","KAMILS",50.0080556,-127.43417,9,9,9,2,5,20,1996,10,13365,"08/04/1996",NA,8.22,NA,NA,NA,1.920156,NA,NA,8.22,1.9201562436,3,363,-0.053628945
"35",1,"VancouverIsland-JaneWatson","KAMILS",50.0080556,-127.43417,9,9,9,2,5,20,1997,11,13735,"08/09/1997",NA,5.25,NA,NA,NA,1.20364,NA,NA,5.25,1.2036403117,3,370,-0.442586389
"36",1,"VancouverIsland-JaneWatson","KAMILS",50.0080556,-127.43417,9,9,9,2,5,20,1998,12,14098,"08/07/1998",NA,6.3,NA,NA,NA,1.63936,NA,NA,6.3,1.6393596311,3,363,0.1834516491
"37",1,"VancouverIsland-JaneWatson","KAMILS",50.0080556,-127.43417,9,9,9,2,5,20,1999,13,14437,"07/12/1999",NA,9.12,NA,NA,NA,3.289111,NA,NA,9.12,3.2891108221,3,339,0.3985644317
"38",1,"VancouverIsland-JaneWatson","KAMILS",50.0080556,-127.43417,9,9,9,2,5,20,2000,14,14823,"08/01/2000",NA,5.28,NA,NA,NA,2.026882,NA,NA,5.28,2.0268818416,3,386,-0.517163442
"39",1,"VancouverIsland-JaneWatson","KAMILS",50.0080556,-127.43417,9,9,9,2,5,20,2001,15,15210,"08/23/2001",NA,8.3,NA,NA,NA,2.748409,NA,NA,8.3,2.7484086305,3,387,0.4269078026
"40",1,"VancouverIsland-JaneWatson","KAMILS",50.0080556,-127.43417,9,9,9,2,5,20,2002,16,15552,"07/31/2002",NA,7.31,NA,NA,NA,2.537075,NA,NA,7.31,2.5370750876,3,342,-0.135646845
"41",1,"VancouverIsland-JaneWatson","KAMILS",50.0080556,-127.43417,9,9,9,2,5,20,2003,17,15924,"08/07/2003",NA,7.34,NA,NA,NA,2.950932,NA,NA,7.34,2.9509320561,3,372,0.0040212541
"42",1,"VancouverIsland-JaneWatson","KAMILS",50.0080556,-127.43417,9,9,9,2,5,20,2004,18,16299,"08/16/2004",NA,9.07,NA,NA,NA,3.956103,NA,NA,9.07,3.9561028804,3,375,0.2061309525
"43",1,"VancouverIsland-JaneWatson","KAMILS",50.0080556,-127.43417,9,9,9,2,5,20,2005,19,16640,"07/23/2005",NA,5.57,NA,NA,NA,4.435595,NA,NA,5.57,4.4355946614,3,341,-0.522250956
"44",1,"VancouverIsland-JaneWatson","KAMILS",50.0080556,-127.43417,9,9,9,2,5,20,2006,20,17024,"08/11/2006",NA,7.07,NA,NA,NA,2.391286,NA,NA,7.07,2.3912862648,3,384,0.2268216063
"45",1,"VancouverIsland-JaneWatson","KAMILS",50.0080556,-127.43417,9,9,9,2,5,20,2007,21,17391,"08/13/2007",NA,5.98,NA,NA,NA,3.068917,NA,NA,5.98,3.068916747,3,367,-0.166641493
"46",1,"VancouverIsland-JaneWatson","KAMILS",50.0080556,-127.43417,9,9,9,2,5,20,2008,22,17752,"08/08/2008",NA,6.87,NA,NA,NA,1.479696,NA,NA,6.87,1.4796959147,3,361,0.1403769456
"47",1,"VancouverIsland-JaneWatson","KAMILS",50.0080556,-127.43417,9,9,9,2,5,20,2009,23,18144,"09/04/2009",NA,10.68,NA,NA,NA,1.873032,NA,NA,10.68,1.8730323008,3,392,0.4111007338
"48",1,"VancouverIsland-JaneWatson","KAMILS",50.0080556,-127.43417,9,9,9,2,5,20,2010,24,18505,"08/31/2010",NA,8.19,NA,NA,NA,3.281463,NA,NA,8.19,3.2814630883,3,361,-0.268584145
"49",1,"VancouverIsland-JaneWatson","KAMILS",50.0080556,-127.43417,9,9,9,2,5,20,2011,25,18864,"08/25/2011",NA,11.91,NA,NA,NA,3.768189,NA,NA,11.91,3.7681892203,3,359,0.380983714
"50",1,"VancouverIsland-JaneWatson","KYUQUOTBAY",49.9863889,-127.29861,9,9,9,3,5,20,1988,1,10475,"09/05/1988",NA,0.05,NA,NA,NA,0.111803,NA,NA,0.05,0.1118033989,3,NA,NA
"51",1,"VancouverIsland-JaneWatson","KYUQUOTBAY",49.9863889,-127.29861,9,9,9,3,5,20,1989,2,10804,"07/31/1989",NA,3.25,NA,NA,NA,3.578058,NA,NA,3.25,3.5780581326,3,329,4.634331156
"52",1,"VancouverIsland-JaneWatson","KYUQUOTBAY",49.9863889,-127.29861,9,9,9,3,5,20,1990,3,11173,"08/04/1990",NA,3.04,NA,NA,NA,2.807,NA,NA,3.04,2.8070001781,3,369,-0.066118645
"53",1,"VancouverIsland-JaneWatson","KYUQUOTBAY",49.9863889,-127.29861,9,9,9,3,5,20,1991,4,11570,"09/05/1991",NA,9.03,NA,NA,NA,7.711728,NA,NA,9.03,7.7117280813,3,397,1.0016266869
"54",1,"VancouverIsland-JaneWatson","KYUQUOTBAY",49.9863889,-127.29861,9,9,9,3,5,20,1992,5,11947,"09/16/1992",NA,9.58,NA,NA,NA,4.865003,NA,NA,9.58,4.8650025694,3,377,0.0572824623
"55",1,"VancouverIsland-JaneWatson","KYUQUOTBAY",49.9863889,-127.29861,9,9,9,3,5,20,1993,6,12257,"07/23/1993",NA,11.59,NA,NA,NA,2.245106,NA,NA,11.59,2.2451057882,3,310,0.2244108552
"56",1,"VancouverIsland-JaneWatson","KYUQUOTBAY",49.9863889,-127.29861,9,9,9,3,5,20,1994,7,12642,"08/12/1994",NA,15.41,NA,NA,NA,7.134196,NA,NA,15.41,7.1341958201,3,385,0.2702603262
"57",1,"VancouverIsland-JaneWatson","KYUQUOTBAY",49.9863889,-127.29861,9,9,9,3,5,20,1995,8,13004,"08/09/1995",NA,10.99,NA,NA,NA,3.942778,NA,NA,10.99,3.9427782083,3,362,-0.341065689
"58",1,"VancouverIsland-JaneWatson","KYUQUOTBAY",49.9863889,-127.29861,9,9,9,3,5,20,1996,9,13373,"08/12/1996",NA,14.83,NA,NA,NA,7.242807,NA,NA,14.83,7.2428067764,3,369,0.2966209976
"59",1,"VancouverIsland-JaneWatson","KYUQUOTBAY",49.9863889,-127.29861,9,9,9,3,5,20,1997,10,13735,"08/09/1997",NA,10.22,NA,NA,NA,2.209525,NA,NA,10.22,2.2095248358,3,362,-0.375648094
"60",1,"VancouverIsland-JaneWatson","KYUQUOTBAY",49.9863889,-127.29861,9,9,9,3,5,20,1998,11,14098,"08/07/1998",NA,10.78,NA,NA,NA,4.287278,NA,NA,10.78,4.287277691,3,363,0.0536766376
"61",1,"VancouverIsland-JaneWatson","KYUQUOTBAY",49.9863889,-127.29861,9,9,9,3,5,20,1999,12,14437,"07/12/1999",NA,9.88,NA,NA,NA,3.663264,NA,NA,9.88,3.6632635723,3,339,-0.093930722
"62",1,"VancouverIsland-JaneWatson","KYUQUOTBAY",49.9863889,-127.29861,9,9,9,3,5,20,2000,13,14823,"08/01/2000",NA,9.72,NA,NA,NA,2.20159,NA,NA,9.72,2.2015903343,3,386,-0.015449217
"63",1,"VancouverIsland-JaneWatson","KYUQUOTBAY",49.9863889,-127.29861,9,9,9,3,5,20,2001,14,15211,"08/24/2001",NA,7.49,NA,NA,NA,1.428461,NA,NA,7.49,1.42846071,3,388,-0.245335809
"64",1,"VancouverIsland-JaneWatson","KYUQUOTBAY",49.9863889,-127.29861,9,9,9,3,5,20,2002,15,15555,"08/03/2002",NA,6.18,NA,NA,NA,1.707923,NA,NA,6.18,1.7079227149,3,344,-0.204126467
"65",1,"VancouverIsland-JaneWatson","KYUQUOTBAY",49.9863889,-127.29861,9,9,9,3,5,20,2003,16,15927,"08/10/2003",NA,5.27,NA,NA,NA,1.858292,NA,NA,5.27,1.8582922268,3,372,-0.156397604
"66",1,"VancouverIsland-JaneWatson","KYUQUOTBAY",49.9863889,-127.29861,9,9,9,3,5,20,2004,17,16305,"08/22/2004",NA,4.71,NA,NA,NA,2.187579,NA,NA,4.71,2.18757857,3,378,-0.108553126
"67",1,"VancouverIsland-JaneWatson","KYUQUOTBAY",49.9863889,-127.29861,9,9,9,3,5,20,2005,18,16647,"07/30/2005",NA,3.22,NA,NA,NA,0.953677,NA,NA,3.22,0.9536770942,3,342,-0.406160722
"68",1,"VancouverIsland-JaneWatson","KYUQUOTBAY",49.9863889,-127.29861,9,9,9,3,5,20,2006,19,17030,"08/17/2006",NA,3.78,NA,NA,NA,1.4877,NA,NA,3.78,1.4876995664,3,383,0.1529116265
"69",1,"VancouverIsland-JaneWatson","KYUQUOTBAY",49.9863889,-127.29861,9,9,9,3,5,20,2007,20,17394,"08/16/2007",NA,4.17,NA,NA,NA,4.908742,NA,NA,4.17,4.9087422014,3,364,0.0985292241
"70",1,"VancouverIsland-JaneWatson","KYUQUOTBAY",49.9863889,-127.29861,9,9,9,3,5,20,2008,21,17754,"08/10/2008",NA,8.19,NA,NA,NA,6.140888,NA,NA,8.19,6.140887558,3,360,0.6848415809
"71",1,"VancouverIsland-JaneWatson","KYUQUOTBAY",49.9863889,-127.29861,9,9,9,3,5,20,2009,22,18144,"09/04/2009",NA,9.72,NA,NA,NA,6.364609,NA,NA,9.72,6.3646091789,3,390,0.1604025537
"72",1,"VancouverIsland-JaneWatson","KYUQUOTBAY",49.9863889,-127.29861,9,9,9,3,5,20,2010,23,18503,"08/29/2010",NA,7.16,NA,NA,NA,4.903111,NA,NA,7.16,4.9031112572,3,359,-0.310997289
"73",1,"VancouverIsland-JaneWatson","KYUQUOTBAY",49.9863889,-127.29861,9,9,9,3,5,20,2011,24,18868,"08/29/2011",NA,6.86,NA,NA,NA,3.073963,NA,NA,6.86,3.0739632399,3,365,-0.042831856
"74",1,"VancouverIsland-JaneWatson","MQUINNA",49.6088889,-126.78056,9,9,9,4,5,20,1987,1,10121,"09/17/1987",NA,0,NA,NA,NA,0,NA,NA,0,0,3,NA,NA
"75",1,"VancouverIsland-JaneWatson","MQUINNA",49.6088889,-126.78056,9,9,9,4,5,20,1988,2,10493,"09/23/1988",NA,0.12,NA,NA,NA,0.268328,NA,NA,0.12,0.2683281573,3,372,9999
"76",1,"VancouverIsland-JaneWatson","MQUINNA",49.6088889,-126.78056,9,9,9,4,5,20,1989,3,10864,"09/29/1989",NA,14.97,NA,NA,NA,18.45822,NA,NA,14.97,18.458216328,3,371,4.7515104072
"77",1,"VancouverIsland-JaneWatson","MQUINNA",49.6088889,-126.78056,9,9,9,4,5,20,1990,4,11246,"10/16/1990",NA,32.02,NA,NA,NA,16.37428,NA,NA,32.02,16.37427861,3,382,0.7269741989
"78",1,"VancouverIsland-JaneWatson","MQUINNA",49.6088889,-126.78056,9,9,9,4,5,20,1991,5,11593,"09/28/1991",NA,30.35,NA,NA,NA,15.25303,NA,NA,30.35,15.253032485,3,347,-0.056381327
"79",1,"VancouverIsland-JaneWatson","MQUINNA",49.6088889,-126.78056,9,9,9,4,5,20,1992,6,11953,"09/22/1992",NA,25.48,NA,NA,NA,11.21899,NA,NA,25.48,11.218990596,3,360,-0.177453351
"80",1,"VancouverIsland-JaneWatson","NONAME",50.0622222,-127.44917,9,9,9,5,5,20,1988,1,10470,"08/31/1988",NA,15.55,NA,NA,NA,6.482958,NA,NA,15.55,6.4829584296,3,NA,NA
"81",1,"VancouverIsland-JaneWatson","NONAME",50.0622222,-127.44917,9,9,9,5,5,20,1989,2,10814,"08/10/1989",NA,16.44,NA,NA,NA,4.704174,NA,NA,16.44,4.7041736788,3,344,0.0590948497
"82",1,"VancouverIsland-JaneWatson","NONAME",50.0622222,-127.44917,9,9,9,5,5,20,1990,3,11178,"08/09/1990",NA,11.43,NA,NA,NA,4.752973,NA,NA,11.43,4.752972754,3,364,-0.364724112
"83",1,"VancouverIsland-JaneWatson","NONAME",50.0622222,-127.44917,9,9,9,5,5,20,1991,4,11571,"09/06/1991",NA,11.05,NA,NA,NA,8.095601,NA,NA,11.05,8.0956006571,3,393,-0.031423628
"84",1,"VancouverIsland-JaneWatson","NONAME",50.0622222,-127.44917,9,9,9,5,5,20,1992,5,11949,"09/18/1992",NA,6.16,NA,NA,NA,3.469042,NA,NA,6.16,3.4690416544,3,378,-0.564643309
"85",1,"VancouverIsland-JaneWatson","NONAME",50.0622222,-127.44917,9,9,9,5,5,20,1993,6,12263,"07/29/1993",NA,9.17,NA,NA,NA,2.954996,NA,NA,9.17,2.9549957699,3,314,0.4627979325
"86",1,"VancouverIsland-JaneWatson","NONAME",50.0622222,-127.44917,9,9,9,5,5,20,1994,7,12644,"08/14/1994",NA,11.35,NA,NA,NA,4.945579,NA,NA,11.35,4.9455788337,3,381,0.2044637458
"87",1,"VancouverIsland-JaneWatson","NONAME",50.0622222,-127.44917,9,9,9,5,5,20,1995,8,13003,"08/08/1995",NA,8.72,NA,NA,NA,5.903347,NA,NA,8.72,5.9033465085,3,359,-0.268187616
"88",1,"VancouverIsland-JaneWatson","NONAME",50.0622222,-127.44917,9,9,9,5,5,20,1996,9,13376,"08/15/1996",NA,34.22,NA,NA,NA,6.939344,NA,NA,34.22,6.9393443494,3,373,1.3387842464
"89",1,"VancouverIsland-JaneWatson","NONAME",50.0622222,-127.44917,9,9,9,5,5,20,1997,10,13739,"08/13/1997",NA,12.93,NA,NA,NA,5.967579,NA,NA,12.93,5.9675790736,3,363,-0.979292679
"90",1,"VancouverIsland-JaneWatson","NONAME",50.0622222,-127.44917,9,9,9,5,5,20,1998,11,14103,"08/12/1998",NA,9.34,NA,NA,NA,6.266518,NA,NA,9.34,6.266518172,3,364,-0.32636085
"91",1,"VancouverIsland-JaneWatson","NONAME",50.0622222,-127.44917,9,9,9,5,5,20,1999,12,14441,"07/16/1999",NA,11.63,NA,NA,NA,8.105291,NA,NA,11.63,8.1052914815,3,338,0.2369604916
"92",1,"VancouverIsland-JaneWatson","NONAME",50.0622222,-127.44917,9,9,9,5,5,20,2000,13,14824,"08/02/2000",NA,15.73,NA,NA,NA,4.58293,NA,NA,15.73,4.5829302853,3,383,0.2879865128
"93",1,"VancouverIsland-JaneWatson","NONAME",50.0622222,-127.44917,9,9,9,5,5,20,2001,14,15212,"08/25/2001",NA,10.05,NA,NA,NA,5.440244,NA,NA,10.05,5.4402435607,3,388,-0.421729212
"94",1,"VancouverIsland-JaneWatson","NONAME",50.0622222,-127.44917,9,9,9,5,5,20,2002,15,15555,"08/03/2002",NA,8.46,NA,NA,NA,6.0015,NA,NA,8.46,6.0014998125,3,343,-0.183395391
"95",1,"VancouverIsland-JaneWatson","NONAME",50.0622222,-127.44917,9,9,9,5,5,20,2003,16,15926,"08/09/2003",NA,10.61,NA,NA,NA,3.766696,NA,NA,10.61,3.7666961651,3,371,0.2229381436
"96",1,"VancouverIsland-JaneWatson","NONAME",50.0622222,-127.44917,9,9,9,5,5,20,2004,17,16298,"08/15/2004",NA,10.01,NA,NA,NA,4.747815,NA,NA,10.01,4.7478152871,3,372,-0.057156087
"97",1,"VancouverIsland-JaneWatson","NONAME",50.0622222,-127.44917,9,9,9,5,5,20,2005,18,16641,"07/24/2005",NA,9.75,NA,NA,NA,2.643152,NA,NA,9.75,2.643151528,3,343,-0.028024481
"98",1,"VancouverIsland-JaneWatson","NONAME",50.0622222,-127.44917,9,9,9,5,5,20,2006,19,17023,"08/10/2006",NA,9.14,NA,NA,NA,4.108893,NA,NA,9.14,4.1088927949,3,382,-0.061774005
"99",1,"VancouverIsland-JaneWatson","NONAME",50.0622222,-127.44917,9,9,9,5,5,20,2007,20,17393,"08/15/2007",NA,6.48,NA,NA,NA,2.945038,NA,NA,6.48,2.9450382001,3,370,-0.339524431
"100",1,"VancouverIsland-JaneWatson","NONAME",50.0622222,-127.44917,9,9,9,5,5,20,2008,21,17756,"08/12/2008",NA,5.03,NA,NA,NA,2.280515,NA,NA,5.03,2.2805152926,3,363,-0.254870571
"101",1,"VancouverIsland-JaneWatson","NONAME",50.0622222,-127.44917,9,9,9,5,5,20,2009,22,18142,"09/02/2009",NA,21.09,NA,NA,NA,4.268401,NA,NA,21.09,4.2684013401,3,386,1.356325605
"102",1,"VancouverIsland-JaneWatson","NONAME",50.0622222,-127.44917,9,9,9,5,5,20,2010,23,18502,"08/28/2010",NA,27.91,NA,NA,NA,18.99208,NA,NA,27.91,18.992083877,3,360,0.2842720997
"103",1,"VancouverIsland-JaneWatson","NONAME",50.0622222,-127.44917,9,9,9,5,5,20,2011,24,18866,"08/27/2011",NA,20.58,NA,NA,NA,7.9725,NA,NA,20.58,7.972499608,3,364,-0.305711558
"104",1,"VancouverIsland-JaneWatson","TAYLOR",48.8302778,-125.19889,9,9,9,6,5,20,1987,1,10133,"09/29/1987",NA,0.07,NA,NA,NA,0.156525,NA,NA,0.07,0.1565247584,3,NA,NA
"105",1,"VancouverIsland-JaneWatson","TAYLOR",48.8302778,-125.19889,9,9,9,6,5,20,1988,2,10424,"07/16/1988",NA,0.33,NA,NA,NA,0.294958,NA,NA,0.33,0.2949576241,3,291,1.9462395357
"106",1,"VancouverIsland-JaneWatson","TAYLOR",48.8302778,-125.19889,9,9,9,6,5,20,1989,3,10916,"11/20/1989",NA,0.3,NA,NA,NA,0.561249,NA,NA,0.3,0.561248608,3,492,-0.070756185
"107",1,"VancouverIsland-JaneWatson","TAYLOR",48.8302778,-125.19889,9,9,9,6,5,20,1990,4,11279,"11/18/1990",NA,0.01,NA,NA,NA,0.022361,NA,NA,0.01,0.0223606798,3,363,-3.422279184
"108",1,"VancouverIsland-JaneWatson","TAYLOR",48.8302778,-125.19889,9,9,9,6,5,20,1992,5,11937,"09/06/1992",NA,0,NA,NA,NA,0,NA,NA,0,0,3,658,-9999
"109",1,"VancouverIsland-JaneWatson","TAYLOR",48.8302778,-125.19889,9,9,9,6,5,20,1993,6,12318,"09/22/1993",NA,0.46,NA,NA,NA,0.74027,NA,NA,0.46,0.7402702209,3,381,9999
"110",1,"VancouverIsland-JaneWatson","TAYLOR",48.8302778,-125.19889,9,9,9,6,5,20,1994,7,12690,"09/29/1994",NA,0,NA,NA,NA,0,NA,NA,0,0,3,372,-9999
"111",1,"VancouverIsland-JaneWatson","TAYLOR",48.8302778,-125.19889,9,9,9,6,5,20,1995,8,13052,"09/26/1995",NA,0,NA,NA,NA,0,NA,NA,0,0,3,362,NA
"112",1,"VancouverIsland-JaneWatson","TAYLOR",48.8302778,-125.19889,9,9,9,6,5,20,1996,9,13390,"08/29/1996",NA,0,NA,NA,NA,0,NA,NA,0,0,3,338,NA
"113",1,"VancouverIsland-JaneWatson","TAYLOR",48.8302778,-125.19889,9,9,9,6,5,20,1997,10,13754,"08/28/1997",NA,0.09,NA,NA,NA,0.201246,NA,NA,0.09,0.201246118,3,364,9999
"114",1,"VancouverIsland-JaneWatson","TAYLOR",48.8302778,-125.19889,9,9,9,6,5,20,1998,11,14148,"09/26/1998",NA,0,NA,NA,NA,0,NA,NA,0,0,3,394,-9999
"115",1,"VancouverIsland-JaneWatson","TAYLOR",48.8302778,-125.19889,9,9,9,6,5,20,1999,12,14512,"09/25/1999",NA,0.02,NA,NA,NA,0.044721,NA,NA,0.02,0.0447213595,3,364,9999
"116",1,"VancouverIsland-JaneWatson","TAYLOR",48.8302778,-125.19889,9,9,9,6,5,20,2000,13,14895,"10/12/2000",NA,0,NA,NA,NA,0,NA,NA,0,0,3,383,-9999
"117",1,"VancouverIsland-JaneWatson","TAYLOR",48.8302778,-125.19889,9,9,9,6,5,20,2001,14,15251,"10/03/2001",NA,0.02,NA,NA,NA,0.027386,NA,NA,0.02,0.0273861279,3,356,9999
